country_id,country,code,continent,population,population_density,median_age,gdp_per_capita,extreme_poverty
1,Afghanistan,AFG,Asia,40578801,62.21547699,16.75200081,1516.273315,
2,Albania,ALB,Europe,2827562,103.195694,35.94300079,15492.06738,0.340922445
3,Algeria,DZA,Africa,45477339,19.09415817,27.9829998,11198.2334,0
4,American Samoa,ASM,Oceania,48322,241.6100006,27.92700005,,
5,Andorra,AND,Europe,79675,169.5212708,42.83200073,,
6,Angola,AGO,Africa,35634984,28.58344841,16.38999939,5906.115723,39.29470444
7,Anguilla,AIA,North America,14164,157.3777771,37.77299881,,
8,Antigua and Barbuda,ATG,North America,92804,210.9181824,35.0719986,22321.86914,
9,Argentina,ARG,South America,45407866,16.59225845,31.73900032,22461.44141,
10,Armenia,ARM,Asia,2880829,101.1882324,35.81499863,16057.00684,1.928025842
11,Aruba,ABW,North America,107746,598.5888672,40.76699829,41273.61328,
12,Australia,AUS,Oceania,26200929,3.406248331,37.51200104,51090.26172,0.497093976
13,Austria,AUT,Europe,9064633,109.8477097,42.83200073,55867.18359,0.643973827
14,Azerbaijan,AZE,Asia,10295256,124.5644989,32.06200027,15094.28418,
15,Bahamas,BHS,North America,397492,39.70949173,34.23400116,34663.49609,
16,Bahrain,BHR,Asia,1533408,1941.022827,31.68300056,51854.71484,
17,Bangladesh,BGD,Asia,169384838,1301.258667,24.98999977,6263.004395,8.01420784
18,Barbados,BRB,North America,282268,656.4371948,38.65200043,15417.29688,1.677397609
19,Belarus,BLR,Europe,9173190,45.19926071,40.19200134,19092.11133,0
20,Belgium,BEL,Europe,11641759,384.4702454,41.15100098,53287.15234,0.020451888
21,Belize,BLZ,North America,402691,17.65414238,25.52099991,9473.706055,1.036478281
22,Benin,BEN,Africa,13759458,122.0242844,17.64599991,3435.171631,27.22341728
23,Bermuda,BMU,North America,64734,1198.777832,44.70299911,81165.64844,
24,Bhutan,BTN,Asia,780868,20.47372818,28.80999947,11595.68359,0.013378284
25,Bolivia,BOL,South America,12077101,11.14843655,24.3920002,8244.235352,2.81748724
26,Bonaire Sint Eustatius and Saba,BES,North America,28604,88.83229828,39.77299881,,
27,Bosnia and Herzegovina,BIH,Europe,3204770,62.59316254,44.55899811,16737.22656,0.235114455
28,Botswana,BWA,Africa,2439843,4.305124283,22.60400009,15518.65137,21.36525917
29,Brazil,BRA,South America,210306358,25.16186142,33.50600052,15093.46484,3.815588713
30,British Virgin Islands,VGB,North America,38298,255.3200073,37.11999893,,
31,Brunei,BRN,Asia,455326,86.39962006,31.27599907,58669.90234,
32,Bulgaria,BGR,Europe,6825817,62.87598419,44.15399933,26961.29102,1.052967906
33,Burkina Faso,BFA,Africa,22508995,82.26972198,17.04100037,2158.858398,42.06163406
34,Burundi,BDI,Africa,13321056,518.7327271,15.67199993,708.1782837,74.19917297
35,Cambodia,KHM,Asia,17201662,97.44879913,25.59600067,4533.864258,
36,Cameroon,CMR,Africa,27632723,58.45597458,17.62299919,3723.532227,26.69180107
37,Canada,CAN,North America,38821209,4.417172909,40.25299835,49296.37891,0.248848647
38,Cape Verde,CPV,Africa,519694,128.9563293,27.3220005,7379.247559,14.60407829
39,Cayman Islands,CYM,North America,71558,298.1583252,37.49900055,71353.89063,
40,Central African Republic,CAF,Africa,5097987,8.183227539,14.29800034,823.9821777,71.61734772
41,Chad,TCD,Africa,18455270,14.65634537,15.10200024,1412.670776,39.47537613
42,Chile,CHL,South America,19552984,26.29743385,35.52600098,25886.12109,0.519835651
43,China,CHN,Asia,1425179509,151.8052521,38.5340004,18187.8418,0
44,Colombia,COL,South America,51737891,46.63171768,31.18099976,15616.75195,7.686956406
45,Comoros,COM,Africa,834135,448.218689,20.10199928,3245.768799,31.35696411
46,Congo,COG,Africa,6035057,17.67220116,18.20199966,3670.199707,39.2168808
47,Cook Islands,COK,Oceania,14706,61.27500153,34.10900116,,
48,Costa Rica,CRI,North America,5081715,99.52438354,33.5359993,22070.92188,1.283707619
49,Cote d'Ivoire,CIV,Africa,30394949,95.581604,17.99200058,5537.369629,20.90260887
50,Croatia,HRV,Europe,3906988,69.81751251,44.61100006,34302.34766,0.397739947
51,Cuba,CUB,North America,11059772,106.5488663,41.50500107,,
52,Curacao,CUW,North America,185305,417.3536072,37.95399857,23114.95117,
53,Cyprus,CYP,Europe,1331324,144.0826874,37.3390007,44996.31641,0.005062279
54,Czechia,CZE,Europe,10673169,138.2770691,42.64500046,41052.34766,0
55,Democratic Republic of Congo,COD,Africa,102396919,45.16747284,15.76599979,1132.654175,85.31767273
56,Denmark,DNK,Europe,5902846,147.5711517,41.2159996,59935.12109,0.244478911
57,Djibouti,DJI,Africa,1137052,49.05315018,24.08499908,4989.408691,25.3608799
58,Dominica,DMA,North America,66801,89.06800079,35.29499817,11463.59766,
59,Dominican Republic,DOM,North America,11230686,236.2812958,27.31699944,19338.01563,1.272603273
60,East Timor,TLS,Asia,1369250,92.08137512,20.63999939,3943.092529,44.16463852
61,Ecuador,ECU,South America,17823857,71.76621246,27.97500038,10859.21777,4.68074131
62,Egypt,EGY,Africa,112618191,113.1329422,23.81299973,12780.75977,1.373784661
63,El Salvador,SLV,North America,6280269,303.1017761,26.51000023,9396.013672,4.63683939
64,Equatorial Guinea,GNQ,Africa,1803496,64.29576111,21.01600075,14918.29688,8.79419899
65,Eritrea,ERI,Africa,3409407,28.1674118,18.40500069,,
66,Estonia,EST,Europe,1350038,31.57983589,41.625,37711.82031,0.4982526
67,Eswatini,SWZ,Africa,1218873,70.86470795,21.76799965,9058.583008,44.53092957
68,Ethiopia,ETH,Africa,125384244,111.0999756,18.52799988,2381.165771,38.63611603
69,Falkland Islands,FLK,South America,3475,0.285538197,40.93500137,,
70,Faroe Islands,FRO,Europe,53990,39.40876007,37.5379982,,
71,Fiji,FJI,Oceania,919378,50.32172775,27.47500038,12388.1084,4.653071404
72,Finland,FIN,Europe,5569254,18.32306671,42.52600098,49275.15234,0.105978154
73,France,FRA,Europe,66277365,121.0419464,41.56700134,45904.41016,0.054856163
74,French Guiana,GUF,South America,298280,3.601980448,25.23500061,,
75,French Polynesia,PYF,Oceania,280335,80.76490784,34.15999985,,
76,Gabon,GAB,Africa,2430702,9.433391571,21.47500038,13939.78711,3.81048727
77,Gambia,GMB,Africa,2636423,260.5161133,17.98500061,2113.614746,22.00188828
78,Georgia,GEO,Asia,3794728,54.60826111,36.63399887,17078.3418,5.826692104
79,Germany,DEU,Europe,84086176,240.6656647,45.02399826,53969.625,0.243796319
80,Ghana,GHA,Africa,33149102,145.689209,20.73600006,5480.330078,39.02579117
81,Gibraltar,GIB,Europe,37590,3759,38.94800186,,
82,Greece,GRC,Europe,10412428,80.77911377,45.39099884,31704.42578,0.623960912
83,Greenland,GRL,North America,55969,0.136360094,33.92399979,,
84,Grenada,GRD,North America,116876,343.7529297,32.88600159,14462.93652,0.767354548
85,Guadeloupe,GLP,North America,384653,237.4401245,45.86299896,,
86,Guam,GUM,Oceania,165135,305.805542,30.97999954,,
87,Guatemala,GTM,North America,17847828,166.5530853,22.24399948,9162.052734,9.660949707
88,Guernsey,GGY,Europe,63698,,43.88000107,,
89,Guinea,GIN,Africa,14055075,57.19955826,17.83600044,2699.128906,11.65044498
90,Guinea-Bissau,GNB,Africa,2105479,74.87478638,18.7329998,1855.111938,39.86111069
91,Guyana,GUY,South America,821588,4.173675537,25.30400085,35634.6875,
92,Haiti,HTI,North America,11503553,417.4003296,23.25,2799.112549,65.09744263
93,Honduras,HND,North America,10463826,93.51886749,23.20599937,5709.124023,17.02127647
94,Hungary,HUN,Europe,9684259,106.1172333,42.99300003,35356.77734,1.500916719
95,Iceland,ISL,Europe,380322,3.771913052,35.74700165,55567.4375,0.268157899
96,India,IND,Asia,1425423157,479.4255066,27.68400002,7112.039551,5.25164032
97,Indonesia,IDN,Asia,278830479,147.3301392,29.56100082,12409.75879,5.438113213
98,Iran,IRN,Asia,89524192,55.17669678,32.3409996,15461.0791,2.487580538
99,Iraq,IRQ,Asia,44070510,101.5150146,20.09300041,9199.020508,0.549431443
100,Ireland,IRL,Europe,5109966,74.17572784,37.99700165,112445.4219,0.200845748
101,Isle of Man,IMN,Europe,84093,147.5315857,45.47600174,,
102,Israel,ISR,Asia,9103094,420.6605225,29.08600044,44393.30078,0.720745862
103,Italy,ITA,Europe,59619058,201.60849,47.11600113,44292.19141,0.684913278
104,Jamaica,JAM,North America,2839098,262.1512451,31.15299988,10107.86523,1.386924386
105,Japan,JPN,Asia,124997534,342.928772,48.54800034,41837.91016,1.213114619
106,Jersey,JEY,Europe,103444,,42.86700058,,
107,Jordan,JOR,Asia,11256215,126.767746,23.94300079,9490.666992,
108,Kazakhstan,KAZ,Asia,20034569,7.421035767,29.34799957,26093.29492,0.040175647
109,Kenya,KEN,Africa,54252404,95.3234787,19.27199936,4881.531738,46.44984818
110,Kiribati,KIR,Oceania,130435,161.0308685,22.52899933,2002.718262,6.133308887
111,Kosovo,KOS,Europe,1717900,,30.80800056,12675.06836,24.98082733
112,Kuwait,KWT,Asia,4589467,257.5458374,33.46300125,49400.35547,
113,Kyrgyzstan,KGZ,Asia,6955746,36.26562119,24.97500038,5070.150391,4.549306393
114,Laos,LAO,Asia,7558961,32.75112915,23.97200012,7947.658691,15.65670109
115,Latvia,LVA,Europe,1881016,30.22683525,42.94599915,32992.38281,0.424141496
116,Lebanon,LBN,Asia,5744441,561.5289307,28.1060009,12986.91309,5.894135475
117,Lesotho,LSO,Africa,2286067,75.29865265,21.26399994,2240.339355,41.85848999
118,Liberia,LBR,Africa,5373250,55.78540421,18.18000031,1460.92334,33.55893326
119,Libya,LBY,Africa,7223757,4.105480194,26.91699982,19796.58789,
120,Liechtenstein,LIE,Europe,39287,245.5437469,44.01399994,,
121,Lithuania,LTU,Europe,2816872,44.99076843,42.63299942,39955.24609,0.80175519
122,Luxembourg,LUX,Europe,653267,253.7491302,38.67599869,117746.9922,0.104373276
123,Macao,MAC,Asia,704309,21342.69727,37.83100128,51840.14063,
124,Madagascar,MDG,Africa,30437216,52.31560135,18.71800041,1502.482178,87.73955536
125,Malawi,MWI,Africa,20568683,218.1659241,17.33499908,1466.879395,75.43821716
126,Malaysia,MYS,Asia,34695445,105.6017227,29.57299995,28383.61914,0.013082942
127,Maldives,MDV,Asia,524067,1746.890015,30.3390007,21271.31836,0
128,Mali,MLI,Africa,23072588,18.90901184,15.34899998,2132.623291,36.10307693
129,Malta,MLT,Europe,528148,1650.462524,39.74599838,48641.85156,0.110051446
130,Marshall Islands,MHL,Oceania,40058,222.5444489,20.96500015,6004.342773,2.100958586
131,Martinique,MTQ,North America,349407,329.6292419,48.23899841,,
132,Mauritania,MRT,Africa,4875590,4.730367661,16.99200058,5330.214355,10.22150421
133,Mauritius,MUS,Africa,1276075,638.9959717,36.51300049,22841.34961,0.540191591
134,Mayotte,MYT,Africa,305239,816.1470337,16.69799995,,
135,Mexico,MEX,North America,128613066,66.16068268,28.52799988,20254.78125,2.330396175
136,Micronesia (country),FSM,Oceania,112081,160.1157074,22.6079998,3263.665283,26.14707947
137,Moldova,MDA,Europe,3039946,92.20339966,37.47800064,13308.41699,0.039553065
138,Monaco,MCO,Europe,38907,18669.38672,54.97499847,,
139,Mongolia,MNG,Asia,3385971,2.173968315,26.61700058,12073.24512,0.439825088
140,Montenegro,MNE,Europe,614603,45.69538879,39.08000183,22108.73047,2.493798971
141,Montserrat,MSR,North America,4428,44.27999878,41.38499832,,
142,Morocco,MAR,Africa,37329012,83.64107513,28.875,8083.365234,3.675868034
143,Mozambique,MOZ,Africa,32656190,41.52723694,16.24900055,1250.772461,82.24041748
144,Myanmar,MMR,Asia,53756739,82.36434937,29.25099945,4249.875977,10.26622868
145,Namibia,NAM,Africa,2889626,3.509851933,20.82500076,9762.777344,22.8630619
146,Nauru,NRU,Oceania,11783,589.1500244,20.57299995,11024.34277,9.718574524
147,Nepal,NPL,Asia,29715383,207.2925262,24.3560009,4001.699951,2.436314583
148,Netherlands,NLD,Europe,17904367,531.7602539,41.46300125,59249.16797,0.097263113
149,New Caledonia,NCL,Oceania,287095,15.70541573,33.5890007,,
150,New Zealand,NZL,Oceania,5131680,19.48911858,37.06800079,45185.3125,
151,Nicaragua,NIC,North America,6730618,55.93001556,24.91200066,5822.353516,6.570377827
152,Niger,NER,Africa,25311922,19.98257065,15.10200024,1274.641724,60.48986816
153,Nigeria,NGA,Africa,223150851,245.0133972,17.56699944,4963.160156,34.19290543
154,Niue,NIU,Oceania,1812,6.969230652,36.72100067,,
155,North Korea,PRK,Asia,26328793,218.6595154,35.80500031,,
156,North Macedonia,MKD,Europe,1840196,72.96574402,39.90999985,17128.75977,3.940351248
157,Northern Mariana Islands,MNP,Oceania,46050,100.108696,35.17900085,,
158,Norway,NOR,Europe,5456753,14.97996807,39.43600082,67296.15625,0.294659644
159,Oman,OMN,Asia,4730179,15.28329277,28.97299957,35336.89453,
160,Pakistan,PAK,Asia,243700616,316.1330261,20.14800072,5376.966797,16.5161705
161,Palau,PLW,Oceania,17738,38.56087112,37.48400116,14112.66797,
162,Palestine,PSE,Asia,5305230,880.5360718,19.60499954,5722.40918,2.073312759
163,Panama,PAN,North America,4400715,59.32481766,29.27300072,33266.47656,3.7323699
164,Papua New Guinea,PNG,Oceania,10203130,22.53042793,22.12700081,3752.945068,
165,Paraguay,PRY,South America,6760399,17.01585388,26.04500008,13531.39648,2.556226492
166,Peru,PER,South America,33475381,26.1526413,29.09600067,12743.94238,5.87873888
167,Philippines,PHL,Asia,113964291,382.2124634,24.86599922,8581.9375,11.53173256
168,Pitcairn,PCN,Oceania,,,,,
169,Poland,POL,Europe,38385689,125.4024506,40.86399841,37706.60547,0.323914886
170,Portugal,PRT,Europe,10417030,113.7160797,45.80599976,35767.72266,0.224745065
171,Puerto Rico,PRI,North America,3240923,365.3802795,45.1969986,34297.93359,
172,Qatar,QAT,Asia,2892419,251.7335968,32.45800018,96557.8125,0
173,Reunion,REU,Africa,871486,347.2055664,37.06499863,,
174,Romania,ROU,Europe,19166726,83.30461884,42.39099884,32495.9082,1.452808857
175,Russia,RUS,Europe,145579843,8.889356613,39.07099915,27450.44922,0.041680403
176,Rwanda,RWA,Africa,13650972,553.3430176,19.21999931,2364.802002,63.84381485
177,Saint Barthelemy,BLM,North America,10897,,38.70700073,,
178,Saint Helena,SHN,Africa,5330,13.66666698,50.2140007,,
179,Saint Kitts and Nevis,KNA,North America,46695,179.5961609,34.97100067,28770.13867,
180,Saint Lucia,LCA,North America,178747,293.0278625,33.31600189,15100.28613,6.403649807
181,Saint Martin (French part),MAF,North America,28847,576.9400024,38.40000153,,
182,Saint Pierre and Miquelon,SPM,North America,5724,24.88695717,45.98899841,,
183,Saint Vincent and the Grenadines,VCT,North America,102012,261.5692444,33.63299942,14572.60742,
184,Samoa,WSM,Oceania,215224,77.4187088,20.0909996,5155.620117,4.458563805
185,San Marino,SMR,Europe,34066,567.7666626,46.7820015,61609.01172,
186,Sao Tome and Principe,STP,Africa,226265,235.6927032,18.86899948,3438.859863,13.00611687
187,Saudi Arabia,SAU,Asia,32175301,14.96741486,28.7310009,50188.29688,
188,Senegal,SEN,Africa,17651046,91.67945862,18.88800049,3564.628174,17.88747215
189,Serbia,SRB,Europe,6791172,80.76075745,43.67499924,20885.88867,2.039072037
190,Seychelles,SYC,Africa,125480,272.7826233,33.38800049,25205.73633,0.67363292
191,Sierra Leone,SLE,Africa,8276759,114.6683121,19.04000092,1634.763794,41.48519897
192,Singapore,SGP,Asia,5649833,7868.848145,34.87799835,108036.1094,
193,Sint Maarten (Dutch part),SXM,North America,42108,1238.470581,41.47999954,41942.91797,
194,Slovakia,SVK,Europe,5473145,113.8341293,40.90399933,33176.18359,0.695650399
195,Slovenia,SVN,Europe,2115184,105.0428085,43.49700165,41015.22656,0
196,Solomon Islands,SLB,Oceania,781026,27.90375137,20.03000069,2247.784912,40.30148697
197,Somalia,SOM,Africa,17801848,28.37671471,15.37100029,1448.556763,
198,South Africa,ZAF,Africa,62378377,51.42106247,27.91900063,13478.75391,31.23290634
199,South Korea,KOR,Asia,51782473,530.5581055,43.94400024,45560.125,0.248764917
200,South Sudan,SSD,Africa,11021133,17.4404335,17.59000015,,76.5026474
201,Spain,ESP,Europe,47828339,95.70774078,44.39199829,40223.01172,0.785228252
202,Sri Lanka,LKA,Asia,22834913,369.1385803,32.56100082,12200.1377,2.705454111
203,Sudan,SDN,Africa,49383296,26.43645477,18.12000084,3570.607422,10.09995651
204,Suriname,SUR,South America,623128,3.994410276,27.86499977,15047.61426,2.17804265
205,Sweden,SWE,Europe,10487289,25.74935722,39.72800064,55359.34375,1.271495342
206,Switzerland,CHE,Europe,8792128,222.5312653,41.96099854,72278.21094,0.03814099
207,Syria,SYR,Asia,22462118,122.3227005,21.58799934,,16.4703064
208,Taiwan,TWN,Asia,23420051,661.3965454,42.91699982,,0
209,Tajikistan,TJK,Asia,10182185,73.3639679,21.74200058,4137.277832,13.3302536
210,Tanzania,TZA,Africa,64711777,73.05461121,17.12400055,2623.861572,51.34686661
211,Thailand,THA,Asia,71735273,140.4123688,39.19400024,17507.62109,0.004842255
212,Togo,TGO,Africa,9089693,167.1206665,18.70000076,2202.726807,34.66113281
213,Tokelau,TKL,Oceania,2280,228,26.55500031,,
214,Tonga,TON,Oceania,105012,145.8500061,20.72599983,6142.963379,0.40881905
215,Trinidad and Tobago,TTO,North America,1495868,291.5921936,36.22600174,23295.54688,
216,Tunisia,TUN,Africa,12119284,78.00775146,31.74399948,10569.05078,0.654043376
217,Turkey,TUR,Asia,87058421,113.1172409,32.0719986,33149.5,0.529579699
218,Turkmenistan,TKM,Asia,7230147,15.38558292,25.93099976,14740.00977,
219,Turks and Caicos Islands,TCA,North America,45824,48.23579025,37.86600113,20718.38867,
220,Tuvalu,TUV,Oceania,9968,332.2666626,24.25600052,4591.330566,
221,Uganda,UGA,Africa,47312665,235.9498596,16.33799934,2280.07373,59.78437805
222,Ukraine,UKR,Europe,41048717,70.84693909,41.45100021,10731.44043,0.033767752
223,United Arab Emirates,ARE,Asia,10242033,144.2133636,30.90299988,74917.67188,0
224,United Kingdom,GBR,Europe,68179267,281.8140259,39.50400162,47587.16797,0.498311371
225,United States,USA,North America,341533996,37.33664703,37.72000122,64623.125,1.249734163
226,United States Virgin Islands,VIR,North America,86487,247.1057129,44.57099915,,
227,Uruguay,URY,South America,3390863,19.37414551,35.49599838,24426.66016,0.169389695
228,Uzbekistan,UZB,Asia,34938911,79.28894043,26.83600044,8073.210449,4.06627655
229,Vanuatu,VUT,Oceania,313014,25.67793274,20.12100029,2785.903809,19.49560356
230,Vatican,VAT,Europe,501,1138.636353,59.875,,
231,Venezuela,VEN,South America,28212961,31.98567009,28.80999947,,
232,Vietnam,VNM,Asia,99680606,318.0325012,31.93799973,11396.53125,1.603359699
233,Wallis and Futuna,WLF,Oceania,11451,81.79285431,36.59899902,,
234,Western Sahara,ESH,Africa,568702,2.137977362,31.69799995,,
235,Yemen,YEM,Asia,38222833,72.39584351,18.11800003,,33.30049515
236,Zambia,ZMB,Africa,20152890,27.10944366,17.28800011,3365.873779,71.65615082
237,Zimbabwe,ZWE,Africa,16069010,41.53808975,17.68300056,2207.957031,49.21989441
